FUNC __main__.write_new_book 38.7422 1546550340.7823 39.0977 1546550343.7035
FUNC __main__.read_book 32.2188 1546550340.7049 33.3281 1546550343.7055
CMDLINE c:\users\ckastner\anaconda2\envs\pythree\python.exe memprof_trigram_wholebook.py
MEM 0.074219 1546550340.0061
MEM 0.078125 1546550340.1069
MEM 10.230469 1546550340.2072
MEM 16.468750 1546550340.3080
MEM 21.066406 1546550340.4087
MEM 24.007812 1546550340.5094
MEM 28.667969 1546550340.6102
MEM 32.218750 1546550340.7102
MEM 38.953125 1546550340.8103
MEM 39.441406 1546550340.9110
MEM 39.808594 1546550341.0117
MEM 40.164062 1546550341.1124
MEM 40.496094 1546550341.2132
MEM 40.820312 1546550341.3139
MEM 41.093750 1546550341.4146
MEM 41.417969 1546550341.5154
MEM 41.757812 1546550341.6161
MEM 42.023438 1546550341.7168
MEM 42.292969 1546550341.8176
MEM 42.656250 1546550341.9183
MEM 43.019531 1546550342.0190
MEM 43.351562 1546550342.1198
MEM 43.699219 1546550342.2205
MEM 43.992188 1546550342.3212
MEM 44.335938 1546550342.4220
MEM 44.714844 1546550342.5227
MEM 45.062500 1546550342.6234
MEM 45.425781 1546550342.7241
MEM 45.687500 1546550342.8249
MEM 45.917969 1546550342.9256
MEM 46.218750 1546550343.0263
MEM 46.460938 1546550343.1271
MEM 46.730469 1546550343.2278
MEM 46.730469 1546550343.3285
MEM 46.730469 1546550343.4292
MEM 46.730469 1546550343.5300
MEM 46.730469 1546550343.6307
MEM 33.082031 1546550343.7315
