CMDLINE /usr/local/opt/python/bin/python3.7 ./trigrams.py 300
MEM 0.292969 1533323273.8369
MEM 12.316406 1533323273.9413
MEM 20.671875 1533323274.0418
MEM 27.222656 1533323274.1464
MEM 28.792969 1533323274.2486
MEM 31.929688 1533323274.3525
MEM 35.777344 1533323274.4575
MEM 38.375000 1533323274.5581
MEM 43.101562 1533323274.6584
MEM 45.164062 1533323274.7626
MEM 47.300781 1533323274.8653
MEM 49.562500 1533323274.9659
MEM 52.132812 1533323275.0701
MEM 54.187500 1533323275.1739
MEM 60.953125 1533323275.2756
MEM 62.957031 1533323275.3759
MEM 65.042969 1533323275.4782
MEM 66.718750 1533323275.5834
MEM 68.148438 1533323275.6866
MEM 69.972656 1533323275.7870
MEM 72.187500 1533323275.8922
MEM 74.261719 1533323275.9974
MEM 76.253906 1533323276.1025
MEM 78.367188 1533323276.2036
MEM 80.445312 1533323276.3050
MEM 82.609375 1533323276.4103
MEM 84.750000 1533323276.5141
MEM 87.019531 1533323276.6165
MEM 99.011719 1533323276.7183
MEM 101.078125 1533323276.8199
MEM 102.851562 1533323276.9211
MEM 105.027344 1533323277.0259
MEM 107.253906 1533323277.1310
MEM 108.378906 1533323277.2349
MEM 109.886719 1533323277.3352
MEM 111.980469 1533323277.4382
MEM 113.992188 1533323277.5435
MEM 115.832031 1533323277.6487
